EPOCH 0 FID: tf.Tensor(1314.3204, shape=(), dtype=float32)
EPOCH 0 G_LOSS: tf.Tensor(4.580151, shape=(), dtype=float32)
EPOCH 0 D_LOSS: tf.Tensor(1.4977976, shape=(), dtype=float32)
EPOCH 1 FID: tf.Tensor(1161.9054, shape=(), dtype=float32)
EPOCH 1 G_LOSS: tf.Tensor(6.5516686, shape=(), dtype=float32)
EPOCH 1 D_LOSS: tf.Tensor(1.3718103, shape=(), dtype=float32)
EPOCH 2 FID: tf.Tensor(1651.7057, shape=(), dtype=float32)
EPOCH 2 G_LOSS: tf.Tensor(10.434045, shape=(), dtype=float32)
EPOCH 2 D_LOSS: tf.Tensor(1.1482615, shape=(), dtype=float32)
EPOCH 3 FID: tf.Tensor(1821.9722, shape=(), dtype=float32)
EPOCH 3 G_LOSS: tf.Tensor(9.662312, shape=(), dtype=float32)
EPOCH 3 D_LOSS: tf.Tensor(1.2069311, shape=(), dtype=float32)
EPOCH 4 FID: tf.Tensor(1275.0654, shape=(), dtype=float32)
EPOCH 4 G_LOSS: tf.Tensor(8.20416, shape=(), dtype=float32)
EPOCH 4 D_LOSS: tf.Tensor(1.1614716, shape=(), dtype=float32)
EPOCH 5 FID: tf.Tensor(1351.1088, shape=(), dtype=float32)
EPOCH 5 G_LOSS: tf.Tensor(7.9656425, shape=(), dtype=float32)
EPOCH 5 D_LOSS: tf.Tensor(1.0325078, shape=(), dtype=float32)
EPOCH 6 FID: tf.Tensor(891.9282, shape=(), dtype=float32)
EPOCH 6 G_LOSS: tf.Tensor(6.360996, shape=(), dtype=float32)
EPOCH 6 D_LOSS: tf.Tensor(1.0743823, shape=(), dtype=float32)
EPOCH 7 FID: tf.Tensor(938.1323, shape=(), dtype=float32)
EPOCH 7 G_LOSS: tf.Tensor(3.7131655, shape=(), dtype=float32)
EPOCH 7 D_LOSS: tf.Tensor(1.1316801, shape=(), dtype=float32)
EPOCH 8 FID: tf.Tensor(706.71533, shape=(), dtype=float32)
EPOCH 8 G_LOSS: tf.Tensor(6.659288, shape=(), dtype=float32)
EPOCH 8 D_LOSS: tf.Tensor(1.1084313, shape=(), dtype=float32)
EPOCH 9 FID: tf.Tensor(813.3339, shape=(), dtype=float32)
EPOCH 9 G_LOSS: tf.Tensor(4.8276887, shape=(), dtype=float32)
